"Date","Value"
"CDID","IKBJ"
"Source dataset ID","PN2"
"PreUnit","£"
"Unit","m"
"Release date","25-05-2018"
"Next release","29 June 2018"
"Important notes",
"1948","-216"
"1949","-181"
"1950","-59"
"1951","-661"
"1952","-151"
"1953","-124"
"1954","-99"
"1955","-277"
"1956","69"
"1957","81"
"1958","139"
"1959","-13"
"1960","-382"
"1961","-112"
"1962","-75"
"1963","-141"
"1964","-610"
"1965","-358"
"1966","-105"
"1967","-495"
"1968","-437"
"1969","99"
"1970","349"
"1971","722"
"1972","-126"
"1973","-1793"
"1974","-4102"
"1975","-1719"
"1976","-1268"
"1977","1193"
"1978","2417"
"1979","947"
"1980","5398"
"1981","7590"
"1982","5676"
"1983","3283"
"1984","114"
"1985","4459"
"1986","-2119"
"1987","-3494"
"1988","-15090"
"1989","-18313"
"1990","-11135"
"1991","-2608"
"1992","-4897"
"1993","-2703"
"1994","-240"
"1995","2317"
"1996","1525"
"1997","3837"
"1998","-7865"
"1999","-15990"
"2000","-20077"
"2001","-25962"
"2002","-32982"
"2003","-29993"
"2004","-34402"
"2005","-35613"
"2006","-35258"
"2007","-38053"
"2008","-45053"
"2009","-33453"
"2010","-41168"
"2011","-25171"
"2012","-33364"
"2013","-35367"
"2014","-36831"
"2015","-32370"
"2016","-40677"
"2017","-28620"
"1955 Q1","-76"
"1955 Q2","-70"
"1955 Q3","-77"
"1955 Q4","-54"
"1956 Q1","-1"
"1956 Q2","33"
"1956 Q3","8"
"1956 Q4","29"
"1957 Q1","3"
"1957 Q2","11"
"1957 Q3","14"
"1957 Q4","53"
"1958 Q1","71"
"1958 Q2","24"
"1958 Q3","30"
"1958 Q4","14"
"1959 Q1","7"
"1959 Q2","4"
"1959 Q3","6"
"1959 Q4","-30"
"1960 Q1","-50"
"1960 Q2","-113"
"1960 Q3","-114"
"1960 Q4","-105"
"1961 Q1","-51"
"1961 Q2","-54"
"1961 Q3","2"
"1961 Q4","-9"
"1962 Q1","-22"
"1962 Q2","-9"
"1962 Q3","-30"
"1962 Q4","-14"
"1963 Q1","5"
"1963 Q2","-28"
"1963 Q3","-46"
"1963 Q4","-72"
"1964 Q1","-165"
"1964 Q2","-119"
"1964 Q3","-160"
"1964 Q4","-166"
"1965 Q1","-77"
"1965 Q2","-103"
"1965 Q3","-98"
"1965 Q4","-80"
"1966 Q1","-100"
"1966 Q2","-74"
"1966 Q3","-56"
"1966 Q4","125"
"1967 Q1","-16"
"1967 Q2","-74"
"1967 Q3","-75"
"1967 Q4","-330"
"1968 Q1","-154"
"1968 Q2","-153"
"1968 Q3","-76"
"1968 Q4","-54"
"1969 Q1","-88"
"1969 Q2","17"
"1969 Q3","121"
"1969 Q4","49"
"1970 Q1","199"
"1970 Q2","26"
"1970 Q3","1"
"1970 Q4","123"
"1971 Q1","80"
"1971 Q2","156"
"1971 Q3","280"
"1971 Q4","206"
"1972 Q1","52"
"1972 Q2","62"
"1972 Q3","-193"
"1972 Q4","-47"
"1973 Q1","-256"
"1973 Q2","-294"
"1973 Q3","-489"
"1973 Q4","-754"
"1974 Q1","-995"
"1974 Q2","-1138"
"1974 Q3","-977"
"1974 Q4","-992"
"1975 Q1","-526"
"1975 Q2","-296"
"1975 Q3","-670"
"1975 Q4","-227"
"1976 Q1","97"
"1976 Q2","-447"
"1976 Q3","-529"
"1976 Q4","-389"
"1977 Q1","-148"
"1977 Q2","-20"
"1977 Q3","716"
"1977 Q4","645"
"1978 Q1","383"
"1978 Q2","744"
"1978 Q3","531"
"1978 Q4","759"
"1979 Q1","-479"
"1979 Q2","469"
"1979 Q3","556"
"1979 Q4","401"
"1980 Q1","572"
"1980 Q2","703"
"1980 Q3","1882"
"1980 Q4","2241"
"1981 Q1","2848"
"1981 Q2","2235"
"1981 Q3","1072"
"1981 Q4","1435"
"1982 Q1","1406"
"1982 Q2","972"
"1982 Q3","1374"
"1982 Q4","1924"
"1983 Q1","1025"
"1983 Q2","524"
"1983 Q3","1065"
"1983 Q4","669"
"1984 Q1","886"
"1984 Q2","-175"
"1984 Q3","-137"
"1984 Q4","-460"
"1985 Q1","-306"
"1985 Q2","1811"
"1985 Q3","1579"
"1985 Q4","1375"
"1986 Q1","511"
"1986 Q2","-445"
"1986 Q3","-1177"
"1986 Q4","-1008"
"1987 Q1","278"
"1987 Q2","-774"
"1987 Q3","-972"
"1987 Q4","-2026"
"1988 Q1","-2669"
"1988 Q2","-3226"
"1988 Q3","-3998"
"1988 Q4","-5197"
"1989 Q1","-4970"
"1989 Q2","-4978"
"1989 Q3","-5114"
"1989 Q4","-3251"
"1990 Q1","-3887"
"1990 Q2","-3585"
"1990 Q3","-2137"
"1990 Q4","-1526"
"1991 Q1","-1290"
"1991 Q2","-331"
"1991 Q3","-392"
"1991 Q4","-595"
"1992 Q1","-296"
"1992 Q2","-1018"
"1992 Q3","-2021"
"1992 Q4","-1562"
"1993 Q1","-663"
"1993 Q2","-1268"
"1993 Q3","-642"
"1993 Q4","-130"
"1994 Q1","-61"
"1994 Q2","-648"
"1994 Q3","266"
"1994 Q4","203"
"1995 Q1","3038"
"1995 Q2","-516"
"1995 Q3","-871"
"1995 Q4","666"
"1996 Q1","-537"
"1996 Q2","160"
"1996 Q3","693"
"1996 Q4","1209"
"1997 Q1","1478"
"1997 Q2","892"
"1997 Q3","1723"
"1997 Q4","-256"
"1998 Q1","-705"
"1998 Q2","-2866"
"1998 Q3","-2205"
"1998 Q4","-2089"
"1999 Q1","-4489"
"1999 Q2","-3536"
"1999 Q3","-3455"
"1999 Q4","-4510"
"2000 Q1","-4209"
"2000 Q2","-5130"
"2000 Q3","-5657"
"2000 Q4","-5081"
"2001 Q1","-4999"
"2001 Q2","-7251"
"2001 Q3","-7327"
"2001 Q4","-6385"
"2002 Q1","-7924"
"2002 Q2","-8582"
"2002 Q3","-7258"
"2002 Q4","-9218"
"2003 Q1","-6768"
"2003 Q2","-7450"
"2003 Q3","-7455"
"2003 Q4","-8320"
"2004 Q1","-7341"
"2004 Q2","-8631"
"2004 Q3","-9992"
"2004 Q4","-8438"
"2005 Q1","-9392"
"2005 Q2","-8506"
"2005 Q3","-9193"
"2005 Q4","-8522"
"2006 Q1","-8913"
"2006 Q2","-8418"
"2006 Q3","-9409"
"2006 Q4","-8518"
"2007 Q1","-10095"
"2007 Q2","-7937"
"2007 Q3","-11029"
"2007 Q4","-8992"
"2008 Q1","-13461"
"2008 Q2","-12521"
"2008 Q3","-11225"
"2008 Q4","-7846"
"2009 Q1","-9462"
"2009 Q2","-9290"
"2009 Q3","-7527"
"2009 Q4","-7174"
"2010 Q1","-9322"
"2010 Q2","-9217"
"2010 Q3","-12364"
"2010 Q4","-10265"
"2011 Q1","-3042"
"2011 Q2","-4996"
"2011 Q3","-9723"
"2011 Q4","-7410"
"2012 Q1","-5263"
"2012 Q2","-12287"
"2012 Q3","-7886"
"2012 Q4","-7928"
"2013 Q1","-4508"
"2013 Q2","-7907"
"2013 Q3","-9172"
"2013 Q4","-13780"
"2014 Q1","-11410"
"2014 Q2","-5942"
"2014 Q3","-9839"
"2014 Q4","-9640"
"2015 Q1","-10073"
"2015 Q2","-5820"
"2015 Q3","-8226"
"2015 Q4","-8251"
"2016 Q1","-9758"
"2016 Q2","-7627"
"2016 Q3","-16333"
"2016 Q4","-6959"
"2017 Q1","-8944"
"2017 Q2","-6849"
"2017 Q3","-5188"
"2017 Q4","-7639"
"2018 Q1","-7719"
